IBMR,Month,Scenario,BPUE_sum
pdiapfor,6,bdl_bn_smscg6,471658.25220028637
pdiapfor,6,bdl_bn_smscg4,471658.25220028637
pdiapfor,7,bdl_bn_noact,63039.06708197873
pdiapfor,7,bdl_bn_smscg6,78886.20993552238
pdiapfor,7,bdl_bn_smscg4,92611.78059236289
pdiapfor,8,bdl_bn_noact,8616.838881271473
pdiapfor,8,bdl_bn_smscg6,15069.804671137395
pdiapfor,8,bdl_bn_smscg4,17132.232999593234
pdiapfor,9,bdl_bn_noact,1943.241829160808
pdiapfor,9,bdl_bn_smscg6,3843.740738987795
pdiapfor,9,bdl_bn_smscg4,4881.223197988221
pdiapfor,10,bdl_bn_noact,1754.8783033487464
pdiapfor,10,bdl_bn_smscg6,4345.714398002839
pdiapfor,10,bdl_bn_smscg4,5238.739107517716
